watch result all time - 16369ms 
=====================>100.00 % |  16369 ms | InvoiceController.createInvoiceV5
==========================================>0.22 % |  36 ms | InvoiceCheckService.isRequireIsNullWithToast:InvoiceViewDTO@2afc1966,ExpenseType@14fabba9,InvoiceUserContext@4ba0e182
=================================================>0.21 % |  34 ms | TenantService.convertTenant2TenantLanguageDTO:Tenant@679394b1
========================================================>0.21 % |  34 ms | CustomEnumerationService.findCustomItemsByType:1,1003,78751,true,zh_cn
===============================================================>0.07 % |  11 ms | CustomEnumerationMapper.getByCompanyIdAndIsCustomAndSystemCustomEnumerationType:1,1003,78751,null
===============================================================>0.13 % |  22 ms | CustomEnumerationItemMapper.findByCustomEnumerationIdAndIsEnabledOrderBySequenceNumberAscValueAsc:1876568104038248588,true,zh_cn
==========================================>0.17 % |  28 ms | ReportService.selectByExpenseReportOid:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.17 % |  28 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@19ed62c5
========================================================>0.17 % |  28 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@f3099c7
==========================================>0.06 % |  10 ms | ExpenseReportSubsidyDetailService.selectByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.06 % |  10 ms | ExpenseReportSubsidyDetailMapper.selectByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
==========================================>0.12 % |  20 ms | PrivateCarForPublicServiceImpl.mileageModified:InvoiceViewDTO@2afc1966
=================================================>0.12 % |  19 ms | PcfpTenantConfigServiceImpl.selectEntityPage:BaseSearchCommandDeprecated@902598f,PageRequest@3bc02716
========================================================>0.06 % |  10 ms | BaseMapper.selectBatchIds:ArrayList@4c3c414
==========================================>1.95 % |  319 ms | InvoiceFreeInvCalImpl.compute:1946130299251605505,LabelProcessPoint@61181a04,LabelCalculatorExtendParam@af1ba92
=================================================>0.26 % |  43 ms | BaseMapper.selectById:1946130299251605505
=================================================>1.40 % |  229 ms | ReceiptServiceImpl.selectListByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca,1798976097732612098
========================================================>1.40 % |  229 ms | ReceiptLineInvRelServiceImpl.getRelPageByInvoiceOIDs:SingletonList@8a3bcda,PageRequest@368208d1
===============================================================>1.40 % |  229 ms | ReceiptLineInvMappingMapper.selectRelByInvoiceOID:SingletonList@8a3bcda,HeliosPage@4b38fc56
=================================================>0.29 % |  47 ms | ReceiptLabelServiceImpl.isInvoiceFreeForInvoiceOrReceipt:Invoice@10263076,ArrayList@f3a2956,InvoiceUserContext@4ba0e182,false
========================================================>0.27 % |  44 ms | CustomEnumerationService.findByCustomEnumerationIdAndIsEnabled:1791753020644753551,null,zh_cn
===============================================================>0.27 % |  44 ms | CustomEnumerationItemMapper.findByCustomEnumerationIdAndIsEnabled:1791753020644753551,null,zh_cn
==========================================>0.06 % |  10 ms | BaseMapper.selectBatchIds:ArrayList@46421066
==========================================>0.06 % |  10 ms | EntityLabelServiceImpl.getEntityLabelIds:SingletonList@3d02aac4,ArrayList@4eebe72b,LabelCategory@3fb0b9ef
=================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@3d02aac4,2,ArrayList@18f407f6,null
==========================================>0.40 % |  66 ms | EntityLabelServiceImpl.deleteEntityLabelByIds:ArrayList@31b98059,LabelCategory@3fb0b9ef
=================================================>0.12 % |  19 ms | EntityLabelMapper.deleteEntityLabelByIds:ArrayList@31b98059,2
=================================================>0.11 % |  18 ms | EntityLabelMapper.deleteI18nToast:ArrayList@31b98059
==========================================>1.51 % |  247 ms | EntityLabelServiceImpl.addEntityLabels:1946130299251605505,ArrayList@511585e9,LabelCategory@3fb0b9ef,false,1798976097732612098
=================================================>0.07 % |  11 ms | LabelServiceImpl.selectLabelsByTenantIdAndTypes:ArrayList@2e9e14ee,1798976097732612098
========================================================>0.07 % |  11 ms | LabelMapper.selectCommonLabelAndTenantLabelByTypes:ArrayList@2e9e14ee,1798976097732612098
=================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@2271046c,2,ArrayList@3deaa2cc,null
=================================================>1.38 % |  226 ms | EntityLabelMapper.addEntityLabels:ArrayList@e987eec,2
==========================================>0.39 % |  64 ms | EntityLabelServiceImpl.deleteEntityLabelByIds:ArrayList@7eb7f5ab,LabelCategory@3fb0b9ef
=================================================>0.06 % |  10 ms | EntityLabelMapper.selectByIds:ArrayList@7eb7f5ab,2
